영단어|한국단어|설명
Alignment of Structure|선각구조의 정렬|NULL
Alkaline Battery|알카리 축전지|NULL
All Welded Metal Test Specimen|전용착금속시험편|용착금속으로만 만들어진 금속시험편
All-round Light|전주등|해상충돌예빙규정에 따라 수평방향으로 360도 비추는 등기구
Allowable Error|허용 오차(許容誤差|NULL
Allowable Limits of Vibration to Human Body|인체진동허용한계|인체에 불쾌감이나 작업능률저하를 일으키지 않는 진동의 한계값
Allowable Load|허용 하중(許容荷重|NULL
Allowable Pressure|허용압력|압력용기나 구조물에 허용되는 최대압력
Allowable Stress|허용응력|구조부재에 허용되는 최대응력
Allowable Water Velocity|허용 유속(流速|NULL
Allowance List|인도시 누락자재 목록|NULL
Allowance Time|여유시간(餘裕時間|NULL
Allowance for Machining|기계가공 여유(餘裕|NULL
Alloy|합금|자기 이외의 다른 금속 또는 비금속을 함유하고있는 금속
Alloy Iron|합금철|철 이외의 원소를 많이 함유하는 선철의 일종
Alloy Steel|합금강|특수강의 별칭
Alloy Steel|합금강(合金鋼|NULL
Alongside Pier|접안|배를 안벽에 대는 것
Alongside Repair|안벽 수리(岸壁修理|NULL
Alongside Ship|접현|배가 서로 뱃전을 맞대는 것
Alteration Survey|개조 검사(改造檢査|NULL
Alternate Subcontractor|외주업체 변경(變更|NULL
Alternating Light|교색광등|색깔이 다른 빛을 교대로 내며 그 사이의 불빛이 계속 비취는 항로표시등
Alternative Repair Method|대체(對替) 수정방안|NULL
Alternator|교류(交流) 발전기|NULL
Aluminizing|알루마 도금(鍍金|NULL
Aluminum Anode|방식(防蝕) 알루미늄|NULL
Aluminum Cable Steel|강심 알루미늄 연선|NULL
Ambient Temperature|주위온도(周圍溫度|NULL
Amendment|개정|유효하게 체결된 조약의 규정을 당사국 간 합의에 따라 변경하는 행위를 말함. 조약은 당사국 간의 합의에 따라 개정될 수 있으며, 조약에 개정 절차를 규정하고 있는 경우를 제외하고는 조약체결 절차와 같은 절차에 의하여 개정됨
American National Standard|미국 국제 표준 협회|NULL
Amidships|선체(船體) 중앙부|NULL
Ammeter|전류계(電流計|NULL
Ammonia Compression Refrigerating Machine|암모니아압축냉각기|암모니아를 냉매로 사용하는 왕복동 압축 냉동기로서 응축압력이 높고 값이 싸 대형냉동에 많이 이용됨
Ammonium Nitrate Based Fertilizer|질산암모늄계 비료|유기물, 무기물 등 해당 비료를 구성하는 성분의 비율에 따라 두 종류의 그룹 B 화물(산화성 물질 또는 기타 위험 물질) 및 그룹 C(비 위험물)로 분류됨. 그룹 B에 해당하는 질산암모늄계 비료는 화학반응이 개시될 경우, 폭발을 일으키거나 독성 가스를 방출하는 등 선박과 선원의 안전에 해로운 영향을 미칠 수 있음
Ampere|암페어|NULL
Ampere's Righthanded|암페어의 오른 나사의 법칙|NULL
Amplifier|증폭기(增幅器|NULL
Amplitude|진폭|진동현상에서 일 주기 동안의 최대 변위차
Amplitude Modulation|진폭 변조|NULL
Amplitude Shift Keying|진폭 위상 변조|NULL
Analog Digital Converter|아나로그 디지털 변환기|NULL
Analytical Insight|분석적 통찰력|NULL
Anchor Arm|앵커암|닻이 해저에 놓였을 때 배가 움직이는 방향으로 향하여 바닥에 꼽히는 부분
Anchor Ball|정박표시구|주간에 선수에 걸어두는 흑색 공으로 정박 중임을 나타냄
Anchor Buoy|앵커부이|계류앵커나 앵커 인양로프 위치를 표시하는 부표
Anchor Capstain|앵커캡스턴|닻을 끌어올릴 때 사용하는 수직드럼의 윈치장치
Anchor Chain|앵커체인|닻을 연결하는 계류용 체인
Anchor Chock|앵커?|갑판상에 예비앵커를 격납하는 대
Anchor Crown|앵커크라운|닻머리와 동의어
Anchor Gear|닻장치|닻을 다루는 모든 기계장치의 총칭
Anchor Light|정박등|선박의 정박 중에 다는 백등
Anchor Light|정박등(停泊燈|NULL
Anchor Pattern|앵카 패튼(塗裝의|NULL
Anchor Pocket|앵커 포켓|NULL
Anchor Point|고정(固定) 지점|NULL
Anchor Recess|앵커 리세스|NULL
Anchor Shackle|앨커새클|닻과 닻즐을 연결하는 새클
Anchor Shaft|앵커새프트|닻자루
Anchor Stock|앵커스톡|닻자루의 위쪽에 닻자루와 90도를 이루는 각도로 붙어있는 가로봉
Anchor Stopper|앵커스토퍼|운항 중에 닻이 내려가지 않도록 묶어 주는 쇠붙이
Anchor Tumbker|앰커텀블러|앵커를 감아올리는 가이드롤러
Anchor Winch|앵커윈치|앵커의 로프를 감아주는 윈치
Anchoring|묘박|닻을 내려 정박하는 것
Anchoring Test|투양묘시험|양묘장치의 전반적 성능과 닻을 올리고 내리는 것과 수납상태 등을 확인하는 시험
Anemometer|풍속계|풍속을 재는 계기
Anemoscope|풍위계(風位計|NULL
Anemoscope|풍향계|풍향을 재는 계기
Angle Valve (Ang. V/V|앵글(L형) 밸브|NULL
Angle of Extinction|소호각|NULL
Angle of Repose|적재안식각|안식각 참조
Angle of Trim|종경사각|선박의 길이방향축과 수평면이 이루는 경사각
Annealing Furnace|어닐링로|어닐링에 사용되는 가열로
Annex|부속서|조약문은 크게 제목(title), 전문(preamble), 본문(main parts)으로 구성되어 있으며 본문은 다시 주된 조문(articles), 최종조항(final clauses), 부속서(annex)로 구성됨. 부속서란 본문과 분리되어 있으나 역시 본문의 일부를 이루는 문서로서 통상 기술적인 규정 및 보충사항을 그 내용으로 함. 조약의 조문에 이러한 내용까지 포함할 경우 조약 본문의 분량이 너무 방대해지거나 그 체제가 산만하게 되므로 이를 막기 위해 이를 부속서로 따로 분리함.
Annual Survey|연차 검사(年次檢査|NULL
Annual Survey|연차검사|선박이 선급을 유지하기 위하여 매년 받는 검사로 검사항목은 선급규정에 명시됨
Anode Current|양극전류(陽極 電流|NULL
Anodic Protection|양극 방식(陽極防蝕|NULL
Anodic Protection|양극방식법|선체표면에 전해부식이 쉬운 금속편을 붙여 선체부식을 대신하도록 막아주는 방식법
Antenna|안테나|NULL
Anti-Corrosive Tape|방식(防蝕) 테이프|NULL
Anti-Corrosive Treatment|방식 처리(防蝕處理|NULL
Anti-Rolling Bar|흔들림 방지봉|NULL
Anti-Skid Bar|미끌림 방지용봉(棒|NULL
Anti-collision Light|충돌예방등|대형탱커 등의 중앙부에 소형선박이 야간에 충돌하지 않도록 갑판위에 설치하는 발광등기구
Anti-collision System|충돌예방장치|레이더정보를 처리하여 배의 충돌을 막는 데 필요한 데이터를 표시하는 장치
Anti-corrosive Paint|방식도료|금속표면의 부식방지를 위해 칠하는 도료
Anti-corrosive Paint|방청도료|방식도료와 동일
Anti-fouling Composition|방오재|해양생물의 부착을 막기 위해 도료에 혼합하는 약재(일반적으로 독성이 강함)
Anti-fouling Paint|방오도료|선체표면의 생물부착으로 인한 부식과 마찰저항증가 등을 방지하기 위해 사용되는 침수부 도료
Anti-fouling Systems|방오시스템|생물부착을 제한 및 방지하기 위하여 선박에 사용되는 코팅, 페인트, 표면 처리, 표면 또는 장치를 말함. 일반적으로 선체에는 방오도료의 도포 또는 코팅이 사용되며 선내 취수를 위한 sea chest 및 관 장치의 생물 부착방지를 위해 해양생물 성장방지 장치(MGPS, Marine growth prevention system)을 주로 사용함
Anti-friction Grease|마찰감소그리스|윤활유를 베이스로 비누류를 섞어 만든 겔상태의 윤활충진제
Anti-rolling Tank|감요 탱크|횡동요 감쇄탱크 참조
Anti-rolling Tank|횡동요감쇄탱크|선체와 자유수의 연성동요를 이용하여 횡동요를 줄여주는 탱크장치
Anti-torpedo Armament|대어뢰장갑판|어뢰공격에 대비하여 전함의 수선면 부근에 붙이는 장갑판
Anti-torpedo Boat Gun|대어뢰정포|어뢰정 공격에 대비하여 전함에 장착하는 포
Anticlockwise|반시계(反時計) 방향|NULL
Antifreezing Solution|부동액(不凍液|NULL
Anvil Block|모루|대장간에서 달군 쇠를 두드릴 때 쓰는 받침쇠 덩어리
Apparent Power|피상 전력|NULL
Apparent Slip|겉보기 슬립|NULL
Appeal on Disagreement|불복신청(不服申請|NULL
Appearamt Wave Height|겉보기 파고|파도의 꼭대기와 바닥 사이의 수직높이
Appearant Wave Period|겉보기 파도주기|파도의 정점이 선수를 지날 때와 다음 파도의 정점이 지날 때 사이의 걸리는 시간
Applicable Rule|적용 규정(適用規定|NULL
Applicable Standards|적용 규격(適用規格|NULL
Application Specific IC|응용 주문형 집적회로|NULL
Apportioning and Absorbing|배부및 산입(간접비|NULL
Apprentice|견습생(見習生|NULL
Approval|승인(承認|NULL
Approved Maker|승인된 메이커|NULL
Approved Plan|승인도|생산에 앞서 관계처에 제출하여 승인을 받은 도면
Approximate(Approx.) Calculation|대략(근사) 계산|NULL
Apron|에이프런|철도연락선의 차량갑판과 부두의 안벽을 연결하고 높이를 조절하는 철제 다리
Arbitration|법적 중재(法的仲裁|NULL
Arc|아크|두 개의 서로 다른 전극 사이의 기체가 통전매체로 전환되어 일으키는 전기적 방전현상
Arc Brazing|아크 경납땜|모재와 전극 또는 두 전극간의 아크열로 때우는 경납땜
Arc Cutting|아크절단|아크열을 이용하는 절단법
Arc Lamp|아크등|아크를 이용한 등
Arc Length|아크 길이|아크 양단간의 길이
Arc Resistant Material|내아크성 재료|사용 중에 아크가 반복 발생하여도 표면이 잘 손상되지 않는 재료
Arc Spot Welding|아크 점용접|아크열을 이용하여 판의 한쪽에서 가열 가압하여 용착시키는 방법
Arc Strike|아아크 스트라이크|NULL
Arc Time|순수(純粹)용접시간|NULL
Arc Voltage|아크전압|아크 발생시에 아크 양단에 걸리는 전압(전위차)
Arc Welding|아크용접|용접봉과 모재 사이에 전류로 인한 아크를 발생시켜 이때 생기는 고열을 이용하여 용접봉과 모재를 서로 융용시켜 접합하는 용접방법
Arc-air Gouging|아크 에어 가우징|아크열로 가열된 금속표면에 압축공기를 불어 표면에 홈을 파는 방법
Arch Vessel|아치형선|수선상부에서 외판과 갑판이 서로 아치형으로 이어져 아치 단면을 이루는 선박으로 역Sheer를 가지며 종강도가 증가되는 장점을 가짐
Archives|문서(文書) 보관소|NULL
Argon Arc Welding|알곤 아크용접|불활성 가스인 알곤의 분위기 속에서 금속전극과 모재 사이에 발생한 아크열로 접합하는 아크용접
Armature Reaction|전기자 반작용|NULL
Armed robbery against ships|선박 무장강도|한 국가의 영해 내에서 선박이나 그 선박의 승객과 재산에 행해지는 ‘해적’ 행위 이외의 폭력이나 억류, 약탈, 위협 행위를 말함. 또한, 상기 행위를 의도적으로 방조한 모든 행위를 말함
Armored Cable|외장(外裝) 케이블|NULL
Arrow Head|화살표|NULL
Article for Ships|선용품|선내의 각종 작업과 의장 등에 필요한 비품 및 소모용품들의 총칭
Artificial Intelligence|인공 지능|NULL
Artificial Seasoning|인공시효처리|인공적으로 시효처리를 촉진하는 것
Artificial Ventilation|인공통풍|인공적으로 외기를 통풍하는 것
As-Built Drawing|최종(最終)준공도면|NULL
Asbestos|석면(石綿|NULL
Assemble (Shipbuilding)Sipyard|어셈블 건조방식 조선소|합리화된 최신식 조선소로서 선체 블록을 비롯한 모든 의장유닛들이 외부제작되어 블록 또는 모듈 형태로 조선소에 납품되면 조선소는 독(Building Dock)만 운영하여 이들을 탑재 완성하는 방식임
Assembly|총회|국제기구에서 총회는 모든 회원국이 모여서 의제를 토의하고 어떠한 사안에 관한 최종 결정을 내리는 의사 결정 기구(회의)을 지칭함
Assembly Jig Plan|조립용 Jig플랜|NULL
Assembly Line|조립(組立) 라인|NULL
Assembly Stage|조립공정(組立工程|NULL
Assess the Influence of|영향 평가(影響評價|NULL
Assistant Oiler|조기원|선임 이외의 기관부 선원
Associated Work Processes|연관(聯關)작업공정|NULL
Association Francaise de|프랑스 규격협회|NULL
Astern Nozzle|후진노즐|후진터빈용 노즐
Astern Test|후진시험|배의 후진성능을 확인하는 시험
Astern Turbine|후진(後進) 터어빈|NULL
Asymmetric|비대칭적(非對稱的|NULL
Asynchronous Machine|비동기기|NULL
Asynchronous phase|비동기 조상기|NULL
Athwartship|선체를 가로질러|NULL
Atm. Press.(Atmospheric Pressure|대기압(大氣壓|NULL
Atmospheric Condenser|대기압식 복수기|NULL
Atmospheric Exhaust|대기배출|증기기계에서 일이 끝난 증기를 돌려보내지 않고 대기중으로 방출하는 것
Atmospheric Pollution|대기 오염(大氣汚染|NULL
Atmospheric Pressure|대기압|해변에서의 공기압으로 표준 대기압은 760mmHg 또는 1013hPa임
Atomic Hydrogen Welding|원자수소용접|수소기류 중에서 두 개의 금속전극을 사용하는 아크용접
Atomizer|분무기|액체를 미세한 입자상으로 만들어주는 장치
Attained EEDI|EEDI 계산값|EEDI 계산식에 따라 계산된 해당 선박의 실제 EEDI 값
Attetion Attradting Light|주의환기신호등|충돌예방을 위하여 다른 선박에 보내는 환기신호로 발광신호등 또는 탐조등을 사용함
Audio Frequency|가청 주파수|NULL
Audio Response Unit|음성 응답 장치|NULL
Authentic Text|정본|법적 구속력을 지닌 조약을 의미하는 것으로, 교섭 시 사용된 언어는 일반적으로 조약문 정본으로 포함되며 조약 당사국의 국어 본도 원칙적으로 정본이 됨
Authentication|인증|조약문이 작성된 다음에 조약문을 채택(adoption)하고 그 조약문을 최종적인 것으로 끝맺는 절차로서, 임시서명이나 서명의 방식으로 행해짐. 인증된 조약문에 대해서는 다시 수정할 수 없으며 수정은 재교섭을 의미함
Auto Filter|자동 필타|NULL
Auto Pilot|자동조타장치|선박이 정해진 침로에서 벗어나지 않도록 자동적으로 침로를 유지해주는 조타장치
Auto Transformer|단권 변압기|NULL
Auto-plotter|자동작도기|어떤 배와 목표물의 상대적인 움직임을 시간에 따라 자동적으로 표시기에 작도 표시하는 장치
Auto-starter|자동시동기|기계를 자동으로 시동시켜 주는 장치
Automatic Approval|자동 승인(自動承認|NULL
Automatic Arc Welding|자동 아크용접|아크 용접봉의 운봉이 자동으로 진행되어 연속적으로 용접되도록 고안된 용접법
Automatic Arc Welding|자동아크용접|아크길이와 용접속도 등을 자동으로 조절하는 아크용접방식
Automatic Brightness|자동 휘도 조절|NULL
Automatic Brightness and|자동 휘도 콘트라스트 조절|NULL
Automatic Control|자동 제어(自動制御|NULL
Automatic Control Device Operation Test|자동화기기 작동시험|자동화기기들이 설정된 조건대로 작동되는 지를 확인하는 시험
Automatic Direction Finder|자동 방위 측정기|NULL
Automatic Exchange Telephone|자동교환식 전화|NULL
Automatic Fire Alarm System|자동화재경보장치|자동적으로 화재를 조기에 발견하여 경보를 울리는 장치
Automatic Fuel Oil Reservoir|연료유자동조절통|가솔린기관의 기화기에 들어있는 자동조절기름통
Automatic Gas Cutting|자동가스절단|가스절단 토치를 적당한 구동장치에 얹어 자동으로 이동하면서 절단하는 절단법
Automatic Radar Plotting Aids : ARPA|자동충돌예방장치|레이더 정보에 의하여 충돌회피 판단에 유효한 데이터를 제공하는 장치
